"tengah","tengah 2","tengah 3","tengah 4","tengah 5","tengah 6","tengah 7","tengah 8","tengah 9","tengah 10","tengah 11","tengah 12","tengah 13","tengah 14","tengah 15","tengah 16","tengah 17","tengah 18","tengah 19","tengah 20","tengah 21","tengah 22","tengah 23","tengah 24","tengah 27","tengah 28","tengah 29"
"18","2024-12-02","Emergency Diesel Generator Unit1","28","1.09","Normal","Normal","Normal","400","400","400","231","231","231","0","0","22534","50","1501","1052","264.9","546","49","47","","Ponco","0"
"19","2024-12-09","Emergency Diesel Generator Unit1","28","1.09","Normal","Normal","Normal","400","401","400","231","231","231","0","0","22534","49.9","1500","1054","265","539","41","38","","Ponco","0"
"20","2024-12-16","Emergency Diesel Generator Unit1","0","0","Normal","Normal","Normal","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","-","Ibnu","0"
"21","2024-12-23","Emergency Diesel Generator Unit1","28","0.7","Normal","Normal","Normal","400","400","400","231","231","231","0","0","22534","50","1501","1056","265.1","546","45","43","kondisi normal","Khairul","0"
"22","2024-12-30","Emergency Diesel Generator Unit1","29.2","0.43","Abnormal","Normal","Normal","400","400","400","231","231","231","0","0","22534","50","1500","1058","265.3","546","52","49","baterai abnormal","Juni","0"
"23","2025-01-06","Emergency Diesel Generator Unit1","27","1","Normal","Normal","Normal","400","400","400","231","231","231","0","0","22534","50","1500","1060","265","546","46","43","Kondisi normal","Muflihun","1"
"24","2025-01-13","Emergency Diesel Generator EDG 1","28","2.66","Normal","Normal","Normal","399","400","400","231","231","231","0","27","0","50","1500","1062","265.6","539","32","29","Oli sudah menghitam, baterai keruh","Arif","0"
"25","2025-01-20","Emergency Diesel Generator EDG 1","28","1.29","Normal","Normal","Normal","400","400","400","231","231","231","0","0","22534","50","1502","1064","265.8","546","40","38","kondisi normal","Ponco","0"
"26","2025-01-30","Emergency Diesel Generator EDG 1","27.9","0.9","Normal","Normal","Normal","400","400","399","231","231","231","0","0","22534","50","1501","1066","265.9","546","45","43","Run test lokal remote normal","Khairul","0"
"27","2025-02-03","Emergency Diesel Generator EDG 1","27.4","1.5","Normal","Normal","Normal","400","400","399","230","231","231","0","0","22534","50","150","1067","266","546","50","48","Hasil running EDG unit 1 remote dan lokal normal","Depi","0"
"28","2025-02-11","Emergency Diesel Generator EDG 1","28","1.46","Normal","Normal","Normal","400","400","399","231","231","232","0","0","22534","50","1501","1070","266.2","546","48","46","Normal","Muflihun","0"
"29","2025-02-19","Emergency Diesel Generator EDG 1","27.9","2.5","Normal","Normal","Normal","400","400","399","230","231","231","0","0","22534","50","1500","1072","266.4","546","56","54","Kondisi normal","Ibnu","0"
"30","2025-02-24","Emergency Diesel Generator EDG 1","28","1.49","Normal","Normal","Normal","400","400","400","230","231","231","0","0","22534","50","1500","1073","266","546","52","49","Dilakukan pengisian air battery","Depi","0"
"31","2025-03-03","Emergency Diesel Generator EDG 1","2.78","1.6","Normal","Normal","Normal","400","400","400","231","231","231","0","0","22534","50","1500","1076","266.7","546","37","34","kondisi normal","Ponco","0"
"32","2025-03-10","Emergency Diesel Generator EDG 1","27.8","1.7","Normal","Normal","Normal","400","400","400","231","231","231","0","0","22534","50","1501","1078","266.8","546","39","37","Kondisi normal","Ponco","0"
"33","2025-03-17","Emergency Diesel Generator EDG 1","27.8","1.6","Normal","Normal","Normal","400","400","400","230","231","231","0","0","22534","49.8","1500","1080","266.9","553","42","39","Air Accu Rada Kotor","Arif","0"
"34","2025-03-24","Emergency Diesel Generator EDG 1","27.9","0.24","Normal","Normal","Normal","400","400","400","230","231","231","0","0","22534","50","1500","1082","267","539","35","33","kondisi normal","Ponco","1"
"35","2025-04-09","Emergency Diesel Generator EDG 1","27.8","1.6","Normal","Normal","Normal","400","400","400","230","231","231","0","0","22534","49.8","1500","1084","267.2","539","50","48","","Ibnu","0"
"36","2025-04-14","Emergency Diesel Generator EDG 1","28","0.3","Normal","Normal","Normal","400","400","400","230","231","231","0","0","22534","49.9","1500","1086","267.4","546","34","32","Kondisi Normal","Ponco","0"
"37","2025-04-21","Emergency Diesel Generator EDG 1","27.9","3","Normal","Normal","Normal","400","400","400","231","231","231","0","0","22534","50","1501","1088","267.5","546","38","35","Ruangan Kotor dan debu tebal","Rizal","1"
"38","2025-04-29","Emergency Diesel Generator EDG 1","27.9","0.43","Normal","Normal","Normal","400","400","400","231","231","231","0","0","22534","50","1501","1090","257.6","546","49","47","remote ok, lokal ok","Ibnu","0"
"39","2025-05-05","Emergency Diesel Generator EDG 1","27.8","4.8","Normal","Over","Normal","400","400","400","230","231","232","0","0","22534","50","1501","1092","267.9","539","70","69","Visual oli EDG unit 1 berwarna hitam, arus charger battery EDG unit 1 tinggi dan temperatur baterai 38°C. EDG unit 1 running 15 menit ada pengambilan sampling emisi gas buang dari tim K3","Depi","0"
"40","2025-05-20","Emergency Diesel Generator EDG 1","27.3","0.43","Normal","Normal","Normal","400","400","400","231","231","231","0","0","22534","50","1501","1090","268.2","546","49","47","Oke sip mantaaaapp","Ibnu","0"
"41","2025-05-26","Emergency Diesel Generator EDG 1","27","0.7","Normal","Normal","Normal","400","400","400","231","231","231","0","0","22534","50","1501","1096","268.2","560","52","50","Lokal ok, remote ok","Ibnu","0"
"42","2025-06-02","Emergency Diesel Generator EDG 1","28","1.54","Normal","Normal","Normal","400","400","400","231","231","231","0","0","22534","50","1500","1098","268.4","560","42","39","Normal","Zein","0"
"43","2025-06-09","Emergency Diesel Generator EDG 1","28","0.9","Normal","Normal","Normal","399","400","400","231","231","231","0","0","22534","50","1501","1100","268.6","553","37","34","Normal","Khairul","0"
"44","2025-06-10","Emergency Diesel Generator EDG 1","0","0","Normal","Normal","Normal","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","Khairul","0"
"45","2025-06-16","Emergency Diesel Generator EDG 1","28","0.88","Normal","Normal","Normal","400","400","400","231","231","231","0","0","22534","50","1503","1102","268.7","553","34","32","Runtest lokal remote normal, dilakukan top up air baterai","Khairul","0"
"46","2025-06-24","Emergency Diesel Generator EDG 1","27.4","0.43","Normal","Normal","Normal","400","400","400","231","231","231","0","0","22534","50","1506","1105","268.9","553","51","49","Kodisi normal","Ibnu","0"
"47","2025-06-30","Emergency Diesel Generator EDG 1","14","1.57","Normal","Normal","Normal","400","400","400","231","231","231","0","0","22928","50","1502","1108","271.9","560","45","43","Kondisi normal","Arif","0"
"48","2025-07-07","Emergency Diesel Generator EDG 1","28","0.91","Normal","Normal","Normal","400","400","400","231","231","231","0","0","22928","50","1499","1110","272","553","37","34","RT normal","Khairul","0"
"49","2025-07-14","Emergency Diesel Generator EDG 1","28","0.9","Normal","Normal","Normal","400","400","400","231","231","231","0","0","22928","50","1503","1113","272.2","560","44","43","Kondisi Normal. Baterai ditopping air.","Udin","0"
"50","2025-07-21","Emergency Diesel Generator EDG 1","28","0.88","Normal","Normal","Normal","400","400","400","231","231","231","0","0","22928","50","1503","1115","272.4","553","37","35","Kondisi Normal","Ponco","0"
"51","2025-07-28","Emergency Diesel Generator EDG 1","27","0.6","Normal","Normal","Normal","400","400","400","231","231","231","0","0","22928","49.9","1500","1116","272.5","553","37","34","Kondisi Normal","Udin","0"
"52","2025-08-04","Emergency Diesel Generator EDG 1","27.8","1","Normal","Normal","Normal","400","400","400","231","231","231","0","0","22928","50","1503","1118","272.6","553","36","33","Kondisi Normal edg standby","Ponco","0"
"53","2025-08-11","Emergency Diesel Generator EDG 1","28","0.38","Normal","Normal","Normal","400","400","400","231","231","231","0","0","22928","50","1501","1120","272.7","560","44","42","Kondisi normal","Juni","0"
"54","2025-08-25","Emergency Diesel Generator EDG 1","28","1.07","Normal","Normal","Normal","400","400","399","230","231","231","0","0","22928","49.9","1500","1124","273","553","37","34","Kondisi Normal","Ponco","0"
"55","2025-09-01","Emergency Diesel Generator EDG 1","28","1","Normal","Normal","Normal","400","401","400","230","231","231","0","0","22928","50","1501","1126","273.2","546","54","53","OKE SIP MANTAP","Arif","0"
"56","2025-09-08","Emergency Diesel Generator EDG 1","28","2.45","Normal","Normal","Normal","400","401","400","230","231","231","0","0","22928","50","1497","1127","273.3","560","28","26","Penambahan air battery","Zein","0"
"57","2025-09-15","Emergency Diesel Generator EDG 1","27","1","Normal","Normal","Normal","399","400","400","230","231","231","0","0","22928","50","1501","1130","273","560","42","40","Kondisi normal","Ponco","0"
"58","2025-09-22","Emergency Diesel Generator EDG 1","27.9","1.2","Normal","Normal","Normal","400","400","400","231","231","231","0","0","22926","50","1500","1132","273.6","553","52","49","","Rizal","0"
"59","2025-09-29","Emergency Diesel Generator EDG 1","28","1","Normal","Normal","Normal","400","400","400","231","231","231","0","0","22928","50","1502","1134","273","553","49","47","Runtest EDG lokal remote normal","Depi","0"
"60","2025-10-06","Emergency Diesel Generator EDG 1","28","1.11","Normal","Normal","Normal","400","400","400","231","231","231","0","0","22938","49.9","1501","1136","273.9","560","41","39","Running normal","Udin","0"
"61","2025-10-13","Emergency Diesel Generator EDG 1","27.8","0.6","Normal","Normal","Normal","400","400","400","230","231","231","0","0","22928","49.9","1501","1138","274","560","37","35","","Khairul","0"
"62","2025-10-20","Emergency Diesel Generator EDG 1","27.9","1.3","Normal","Normal","Normal","400","400","399","230","231","231","1","0","22928","50","1501","1140","274.2","560","53","51","Runtest EDG via dcs dan lokal mormal","Depi","0"
"63","2025-10-27","Emergency Diesel Generator EDG 1","27.9","1.42","Normal","Normal","Normal","400","400","400","231","231","231","0","0","22928","50","1502","1142","274.3","560","52","50","okee sip mantap kali","Ibnu","0"
"64","2025-11-03","Emergency Diesel Generator EDG 1","27.1","1.1","Normal","Normal","Normal","400","400","400","230","231","231","0","0","22928","50","1501","1144","274.4","560","49","47","","Ponco","0"
"65","2025-11-10","Emergency Diesel Generator EDG 1","27.8","1.1","Normal","Normal","Normal","400","400","400","231","231","231","0","0","22928","50","1500","1146","274.6","560","49","47","","Ponco","0"
"66","2025-11-17","Emergency Diesel Generator EDG 1","28","1.62","Normal","Normal","Normal","400","400","400","231","231","231","0","0","22928","50","1501","1148","274.7","546","32","30","Amannn","Zein","0"
"67","2025-11-17","Emergency Diesel Generator EDG 1","28","1.62","Normal","Normal","Normal","400","400","400","231","231","231","0","0","22928","50","1501","1148","274.7","546","32","30","Amannn","Zein","0"
"68","2025-12-01","Emergency Diesel Generator EDG 1","27.92","1.3","Normal","Normal","Normal","400","400","400","230","231","232","0","0","22928","50","1500","1151","274.9","553","42","39","","Rizal","0"
"69","2025-12-08","Emergency Diesel Generator EDG 1","28.07","1.3","Normal","Normal","Normal","400","400","400","230","231","231","0","0","22928","50","1503","1153","275.1","560","43","41","Normal","Ponco","0"
"70","2025-12-15","Emergency Diesel Generator EDG 1","28.07","1.6","Normal","Normal","Normal","399","400","400","230","231","231","0","0","22928","50","1500","1155","275.2","560","40","38","Lampu penerangan mati 1","Ponco","0"
"71","2025-12-22","Emergency Diesel Generator EDG 1","28","0.41","Normal","Normal","Normal","400","400","400","231","231","231","0","0","22928","50","1501","1157","275.3","560","52","49","Normal","Juni","0"
"72","2025-12-29","Emergency Diesel Generator EDG 1","27.4","2.2","Normal","Normal","Normal","400","400","400","231","231","231","0","0","22928","50","1501","1159","275.5","560","52","50","normal,kondisi runtest normal","Dedy","0"
"73","2026-01-05","Emergency Diesel Generator EDG 1","28","1.3","Normal","Normal","Normal","400","400","400","231","231","231","0","0","22928","50","1501","1161","275.6","560","52","49","Normal","Zein","0"
